JSON_file,title,author,title_verified,author_verified,isbn
pg_3249.json,THEOLOGIAN,Schocken,THEOLOGIAN,Schocken,0631153713
pg_1867.json,Bogigian,TUTANKHAMEN,Bogigian,TUTANKHAMEN,1513605585
pg_1683.json,,C. de Tolnay,,C. de Tolnay,ISBN Not Found
pg_1979.json,THE GREAT MOTHER,"Neumann, Erich",The Great Mother,Erich Neumann,9780710018861
pg_3258.json,,"Epstein, Isidore",,Isidore,ISBN Not Found
pg_1875.json,Archaeology,Brian Fagan,Archaeology,Brian M. Fagan,9780900197550
pg_3371.json,ASCENT OF MOUNT CARMEL,St. John of the Cross,Ascent of Mount Carmel,E. Allison Peers,1602064946
pg_3267.json,JUDAISM,PIRKE ABOTH,JUDAISM,PIRKE ABOTH,0429462379
pg_1884.json,MOST ANCIENT EGYPT,Chicago Midway reprint,MOST ANCIENT EGYPT,Chicago Midway reprint,ISBN Not Found
pg_3380.json,Christianity,"Bretall, Robert, ed.",Christianity,Not Found,0006280870
pg_3276.json,THE RELIGION OF ISRAL,"Kaufmann, Yehezkel",THE RELIGION OF ISRAL,Yehezkel,ISBN Not Found
pg_1891.json,ANCIENT EGYPTIAN LITERATURE VOL. I,"Lichtheim, Miriam",ANCIENT EGYPTIAN LITERATURE VOL. I,Lichtheim,ISBN Not Found
pg_3389.json,Christianity,Cornell University,Christianity,Cornell University,0006280870
pg_3285.json,THE MYSTICAL MESSIAH,SABBATAI SEVI:,THE MYSTICAL MESSIAH,SABBATAI SEVI:,3161476417
pg_1902.json,Seals and Signet Rings,"Newberry, Percy",Seals and Signet Rings,Newberry,ISBN Not Found
pg_3398.json,Christianty,"Lewis, C. S.",Christianty,Not Found,ISBN Not Found
pg_3294.json,HISTORY OF THE JEWS Since the first cent.,Macmillan,HISTORY OF THE JEWS Since the first cent.,Macmillan,ISBN Not Found
pg_1911.json,WHEN EGYPT RULED THE EAST,"Seele, Keith",WHEN EGYPT RULED THE EAST,Not Found,9780226771984
pg_3990.json,COLLECTED PATCHEN POEMS,"Patchen, Kenneth",The collected poems of Kenneth Patchen,Kenneth Patchen,9783215733017
pg_1807.json,"THE PELICAN HISTORY OF ART: Art and Architecture
in Italy 1600","Wittkower, Rudolf","Art and architecture in Italy, 1600 to 1750 (The Pelican history of art)",Rudolf Wittkower,ISBN Not Found
pg_3303.json,CONFESSIONS,,CONFESSIONS,,292055638X
pg_1920.json,of Chicago,"Castillo, Carlos & Otto Bond","The University of Chicago Spanish-English, English-Spanish dictionary",Carlos Castillo,9780671743482
pg_3200.json,,SARTOR RESARTUS,,SARTOR RESARTUS,ISBN Not Found
pg_1816.json,Bogigian,"Little, Brown",Bogigian,Little,1513605585
pg_1633.json,RACHMANINOV ORCHESTRAL MUSIC,"Piggott, P.",RACHMANINOV ORCHESTRAL MUSIC,Piggott,9780295953083
pg_3312.json,THE POLITICLA & SOCIAL IDEAS OF,Columbia,THE POLITICLA & SOCIAL IDEAS OF,Columbia,ISBN Not Found
pg_1929.json,THE INFORMED HEART,"Bettelheim, Bruno",The informed heart,Bruno Bettelheim,9780140137163
pg_3208.json,,"Minsky, Hyman",,Minsky,ISBN Not Found
pg_3321.json,Christe inity,,Christe inity,,9781425310677
pg_3217.json,ON LIBERTY,"Mill, John Stuart",On Liberty,John Stuart Mill,1731706502
pg_1834.json,,David Macaulay,,David Macaulay,ISBN Not Found
